month,division,line,period,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer journey time performance
2025-02-01,B DIVISION,F,peak,4596758.626953125,1.758312586904684,-0.17865271383138,8082538.552734375,-821223.4035329819,797246.7027587891,0.173436712139752,0.826563287860248
2025-02-01,B DIVISION,G,offpeak,1389234.2056884766,1.175671228519249,1.281423169248421,1633282.6853027344,1780196.8986816406,258079.61708068848,0.185771136374222,0.814228863625778
2025-02-01,B DIVISION,G,peak,1589391.27734375,1.210913762036359,1.178317536683604,1924615.7709960938,1872807.6147460938,307910.69830322266,0.193728695188144,0.806271304811856
2025-02-01,B DIVISION,JZ,offpeak,1365306.7937011719,1.370626028131823,0.607103535591938,1871325.0278320312,828882.5816236734,269436.727142334,0.197345188924114,0.802654811075886
2025-02-01,B DIVISION,JZ,peak,1498257.744140625,1.13221000286446,0.523912305730654,1696342.4047851562,784955.6693115234,270956.8348388672,0.180847945487699,0.819152054512301
2025-02-01,B DIVISION,L,offpeak,2957490.8671875,1.231030398284382,0.59155759308188,3640761.16015625,1749526.1789550781,308029.0821762085,0.104152166822796,0.895847833177204
2025-02-01,B DIVISION,L,peak,3217659.27734375,1.95497148836631,0.73272861235957,6290432.146484375,2357671.0173339844,378156.5993041992,0.117525370683864,0.882474629316136
2025-02-01,B DIVISION,M,offpeak,1908063.984008789,2.086805869694404,0.154934729261729,3981759.1215820312,295625.37677645683,415075.9970703125,0.21753777679837,0.78246222320163
2025-02-01,B DIVISION,M,peak,2285416.1884765625,1.924827312495915,0.170279807496177,4399031.5,389160.2286224365,485322.75146484375,0.212356398765319,0.787643601234681
2025-02-01,B DIVISION,N,offpeak,2484925.5151367188,1.319267194301385,0.535680621017429,3278280.7124023438,1331126.4431304932,457260.59197998047,0.184013802101759,0.815986197898241
2025-02-01,B DIVISION,N,peak,2796109.291015625,1.44501073033642,0.32574775611348,4040407.9287109375,910826.3273963928,453863.2647705078,0.162319572496271,0.837680427503729
2025-02-01,B DIVISION,Q,offpeak,2937909.98828125,1.351893078435062,0.644521062167485,3971740.1782226562,1893544.8661994934,593570.8182983398,0.202038462943377,0.797961537056622
2025-02-01,B DIVISION,Q,peak,3381436.939453125,1.226541287866055,0.75489610393774,4147472.0185546875,2552633.5713043213,631614.4927978516,0.186788783616944,0.813211216383056
2025-02-01,B DIVISION,R,offpeak,3273776.8515625,1.98397128577389,0.089261403735675,6495079.26953125,292221.91728782654,716137.6194458008,0.218749674127607,0.781250325872393
2025-02-01,B DIVISION,R,peak,3910610.396484375,2.215247009050806,-0.03278627703009,8662967.984375,-128214.35581588745,842191.5817871094,0.215360646139599,0.784639353860401
2025-02-01,B DIVISION,S Fkln,offpeak,171802.69317626953,0.854086995112401,-0.002645200654655,146734.4459671378,-454.4525964614004,9375.74796140194,0.054572764769074,0.945427235230926
2025-02-01,B DIVISION,S Fkln,peak,172709.2879638672,0.347831412329364,0.015580896849599,60073.715554870665,2690.965600732714,8870.777731895447,0.051362482217814,0.948637517782186
2025-02-01,B DIVISION,S Rock,offpeak,7982.049223899841,0.897101469610293,-0.00864289921066,7160.708089262247,-68.98804693669081,726.4370294809341,0.091008838595713,0.908991161404287
2025-02-01,B DIVISION,S Rock,peak,8437.321586608887,0.078254608807426,-0.133532872319185,660.2593001425266,-1126.6597861405462,412.7627784013748,0.048921067445916,0.951078932554084
2025-02-01,B DIVISION,W,offpeak,1134794.0372314453,1.032227536878131,0.079396782742024,1171365.6539154053,90098.99563100934,140175.60464572906,0.123525150861486,0.876474849138514
2025-02-01,B DIVISION,W,peak,1537958.837890625,1.013326486034703,-0.241194394755263,1558454.4248657227,-370947.0510635376,142814.03648376465,0.092859466043734,0.907140533956266
2025-03-01,A DIVISION,1,offpeak,5158115.595703125,1.022757167829412,0.604818901690772,5275499.697998047,3119725.809387207,661037.4311828613,0.128154830755155,0.871845169244845
2025-03-01,A DIVISION,1,peak,5711405.55078125,0.95181463517004,0.580919313896641,5436199.390625,3317865.7939453125,515069.4321899414,0.090182605246704,0.909817394753296
2025-03-01,A DIVISION,2,offpeak,3128967.45703125,1.24770981961278,0.665492330509458,3904043.4213867188,2082303.845067978,540607.2315673828,0.172774961386242,0.827225038613758
2025-03-01,A DIVISION,2,peak,3678032.34765625,1.009633556710208,0.533690079131294,3713464.880859375,1962929.3746681213,490447.0770263672,0.133344960203761,0.866655039796239
2025-03-01,A DIVISION,3,offpeak,2482502.8173828125,0.866150662867253,0.505801201392174,2150221.4608459473,1255652.907491684,303240.6062011719,0.122151162962572,0.877848837037428
2025-03-01,A DIVISION,3,peak,2845955.587890625,0.69093512639645,0.505395405149818,1966370.6838378906,1438332.877380371,281897.3437805176,0.099051912468337,0.900948087531663
2025-03-01,A DIVISION,4,offpeak,3876815.5234375,0.947613816770085,0.424720167255623,3673723.955078125,1646561.7375335693,506317.07482910156,0.130601281326938,0.869398718673062
2025-03-01,A DIVISION,4,peak,4142943.21484375,1.085964724402606,0.503235051876844,4499090.1865234375,2084874.2436447144,472395.27880859375,0.114024077645102,0.885975922354898
2025-03-01,A DIVISION,5,offpeak,2717039.026298523,1.129037015073952,0.563476397801221,3067637.632091522,1530987.3632240295,382551.72627687454,0.140797287994068,0.859202712005932
2025-03-01,A DIVISION,5,peak,3553662.677734375,1.17392082242902,0.499329622268143,4171718.61328125,1774449.042541504,433611.3717651367,0.122018157345644,0.877981842654356
2025-03-01,A DIVISION,6,offpeak,5170851.6865234375,1.020587703181325,0.448747122284416,5277307.646240234,2320404.814086914,540866.7412109375,0.104599159674329,0.895400840325671
2025-03-01,A DIVISION,6,peak,5790747.84765625,1.078743753094785,0.547802843135464,6246733.06640625,3172188.13482666,600835.2858886719,0.103757804984006,0.896242195015994
2025-03-01,A DIVISION,7,offpeak,4396265.033203125,1.633175381994635,0.580245131990606,7179871.824951172,2550911.3844566345,590097.7454223633,0.134227063419882,0.865772936580119
2025-03-01,A DIVISION,7,peak,4943944.779296875,1.041312464653855,0.404644153584845,5148191.3232421875,2000538.3505887985,418498.97427368164,0.0846487962459,0.9153512037541
2025-03-01,A DIVISION,S 42nd,offpeak,663503.0775146484,0.408238702566267,-0.131569744113533,270867.63551330566,-87296.93012714386,10996.319732308388,0.01657312543824,0.98342687456176
2025-03-01,A DIVISION,S 42nd,peak,880730.1767578125,0.383392849559982,-0.139804429343068,337665.65216064453,-123129.9797668457,814.8488411903381,0.000925196913531,0.999074803086469
2025-03-01,B DIVISION,A,offpeak,3603674.2661132812,0.978523324621599,0.557976916836509,3526279.3237304688,2010767.0562889576,615892.4072265625,0.170906791720337,0.829093208279662
2025-03-01,B DIVISION,A,peak,4579139.771484375,0.945087413629741,0.236539220858167,4327687.36328125,1083146.1537475586,579834.6303710938,0.126625230787208,0.873374769212792
2025-03-01,B DIVISION,B,offpeak,1960170.2102508545,1.394839587052289,0.740392489139164,2734123.0066184998,1451295.3011040688,366616.7425225973,0.187033116106626,0.812966883893374
2025-03-01,B DIVISION,B,peak,2641760.2978515625,1.537196776099826,0.675460203648086,4060905.4130859375,1784403.9487762451,509570.68701171875,0.192890584140481,0.807109415859519
2025-03-01,B DIVISION,C,offpeak,2662566.0102539062,1.416875938409397,0.55540902213032,3772525.7143554688,1478813.1841125488,426203.38537597656,0.16007242026474,0.83992757973526
2025-03-01,B DIVISION,C,peak,2340586.150390625,1.431388805703216,0.274963913294363,3350288.814453125,643576.7273139954,340643.4514160156,0.145537668570398,0.854462331429602
2025-03-01,B DIVISION,D,offpeak,2801615.7475585938,1.465343517348123,0.608386274167821,4105329.4737854004,1704464.5663070679,588197.4025878906,0.209949349085599,0.790050650914401
2025-03-01,B DIVISION,D,peak,2808929.7958984375,1.469629589114207,0.556619419792189,4128086.341796875,1563504.8732299805,540337.564453125,0.192364211181824,0.807635788818176
2025-03-01,B DIVISION,E,offpeak,3784924.6650390625,1.475678565297216,0.543027258195416,5585332.199462891,2055317.263332367,618241.5554504395,0.163343160079531,0.836656839920469
2025-03-01,B DIVISION,E,peak,4311009.4375,1.199009662955824,-0.263994587205278,5168941.97265625,-1138083.1568908691,495310.8633117676,0.114894404777505,0.885105595222495
2025-03-01,B DIVISION,F,offpeak,4195184.3642578125,1.750527536189141,0.245413150751299,7343785.7490234375,1029553.412815094,869819.4790039062,0.20733760509183,0.79266239490817
2025-03-01,B DIVISION,F,peak,4958088.544921875,1.504172098107672,-0.355522051160534,7457818.44921875,-1762709.8093261719,729340.1040039062,0.147101064734091,0.852898935265909
2025-03-01,B DIVISION,G,offpeak,1597861.6241455078,1.072144301545192,1.118112035708918,1713138.2349853516,1786588.3133544922,252772.21770477295,0.158194060039428,0.841805939960572
2025-03-01,B DIVISION,G,peak,1779742.474609375,1.093092764451228,0.993496162822108,1945423.6215820312,1768167.3193359375,315248.9650878906,0.177131787090198,0.822868212909802
2025-03-01,B DIVISION,JZ,offpeak,1563061.4291992188,1.327954734406468,0.457650977094071,2075674.8250732422,715336.5903310776,295523.1105957031,0.189066856282868,0.810933143717132
2025-03-01,B DIVISION,JZ,peak,1676290.9638671875,1.443990296093779,0.5393924644287,2420547.8852539062,904178.714099884,322803.1848754883,0.192569900950122,0.807430099049878
2025-03-01,B DIVISION,L,offpeak,3364511.595703125,1.214714213456747,0.596354328154394,4086920.056640625,2006441.0522232056,328538.40215301514,0.097648170561397,0.902351829438604
2025-03-01,B DIVISION,L,peak,3490510.775390625,0.720637485195863,0.53952357144949,2515392.9072265625,1883212.8397216797,233627.96908950806,0.066932315676167,0.933067684323833
2025-03-01,B DIVISION,M,offpeak,2157975.305908203,1.919478243876113,0.092686733347013,4142186.6505126953,200015.68174815178,421996.68267059326,0.195552137003251,0.804447862996749
2025-03-01,B DIVISION,M,peak,2523166.8642578125,1.770389547533165,0.047110611542163,4466988.2431640625,118867.93399810791,469893.13830566406,0.186231495412367,0.813768504587634
2025-03-01,B DIVISION,N,offpeak,2730993.3623046875,1.374883555455779,0.572620055235818,3754797.8638916016,1563821.5699715614,488494.36193847656,0.178870578259566,0.821129421740434
